Timestep,a_0,b
0,0,1810668703.8406369686
0,0,1810668703.8406369686
0,0,1810668703.8406369686
0,-261.91616837024599818,2012279573.4102702141
0,-260.10376171270536361,2173946040.3246808052
0,-260.10515686571420702,2173946539.1145896912
1,0,1799144978.9963612556
1,0,1799144978.9963612556
1,0,1799144978.9963612556
1,-261.91616837024599818,1995893627.2464289665
1,-260.10376171270536361,2157564018.4637203217
1,-260.10807733859377322,2157565508.6741051674
2,0,1788175138.2358210087
2,-261.91796067834752648,1793610719.5652616024
2,-175.04287179105298833,1794200069.4923186302
2,-261.91616837024599818,1980242518.4721667767
2,-260.10376171270536361,2141916753.3070409298
2,-260.10807733859377322,2141918209.4620044231
3,0,1776820999.5723991394
3,-2694.2575774604779326,1782101140.586486578
3,-6475.4855861585974708,1844621781.2848608494
3,-261.91616837024599818,1963966096.7230525017
3,-260.10376171270536361,2125645716.8919715881
3,-260.10807733859377322,2125647133.3768517971
4,0,1766419664.1967568398
4,-9991.2758775965885434,1787871765.9306697845
4,-6475.4855861585974708,1845260637.3681004047
4,-261.91616837024599818,1949060372.2196056843
4,-260.10376171270536361,2110743625.9451079369
4,-260.10807733859377322,2110745012.7862625122
5,0,1756560520.2251410484
5,-9991.2758775965885434,1794891591.0110085011
5,-6475.4855861585974708,1844618577.9196712971
5,-261.91616837024599818,1934877219.3139686584
5,-260.10376171270536361,2096563440.6750233173
5,-260.10807733859377322,2096564801.9444901943
6,0,1746799812.0403659344
6,-9991.2758775965885434,1798885205.8526358604
6,-6475.4855861585974708,1842053039.6648111343
6,-261.91616837024599818,1920719480.4065430164
6,-260.10376171270536361,2082409395.3055043221
6,-260.10807733859377322,2082410729.9435353279
7,0,1737009344.7657175064
7,-9991.2758775965885434,1799813511.5463905334
7,-6475.4855861585974708,1837477859.3981692791
7,-261.91616837024599818,1906417814.1431584358
7,-260.10376171270536361,2068112232.7600722313
7,-260.10807733859377322,2068113538.6910054684
8,0,1727668237.0132670403
8,-9991.2758775965885434,1799009552.6680817604
8,-6475.4855861585974708,1832007454.6584470272
8,-261.91616837024599818,1892700251.4367451668
